,input_1,input_2,input_3,input_4,input_5,input_6,output_1
0,1,1,1,1,1,2,1
1,1,1,1,1,2,1,1
2,1,1,1,1,2,2,1
3,1,1,1,1,3,1,0
4,1,1,1,1,4,1,0
5,1,1,1,2,1,1,1
6,1,1,1,2,2,2,1
7,1,1,1,2,4,2,0
8,1,1,2,1,2,2,1
9,1,1,2,1,4,2,0
10,1,1,2,2,2,2,1
11,1,1,2,2,4,1,0
12,1,1,2,2,4,2,0
13,1,1,2,3,1,1,1
14,1,1,2,3,1,2,1
15,1,1,2,3,3,1,1
16,1,1,2,3,3,2,1
17,1,2,1,1,3,1,1
18,1,2,1,2,2,1,1
19,1,2,1,2,2,2,1
20,1,2,1,2,3,1,0
21,1,2,1,3,1,1,1
22,1,2,1,3,1,2,1
23,1,2,1,3,2,1,1
24,1,2,1,3,2,2,1
25,1,2,1,3,3,2,1
26,1,2,1,3,4,1,0
27,1,2,2,1,3,1,1
28,1,2,2,1,4,2,0
29,1,2,2,2,1,1,1
30,1,2,2,2,2,1,1
31,1,2,2,2,2,2,1
32,1,2,2,3,1,1,1
33,1,2,2,3,2,1,1
34,1,2,2,3,2,2,1
35,1,3,1,1,2,1,0
36,1,3,1,1,4,1,0
37,1,3,1,2,3,2,0
38,1,3,1,2,4,1,0
39,1,3,1,3,1,1,0
40,1,3,1,3,3,1,0
41,1,3,2,1,1,1,0
42,1,3,2,1,1,2,0
43,1,3,2,1,2,1,0
44,1,3,2,1,4,2,0
45,1,3,2,2,3,2,0
46,1,3,2,2,4,2,0
47,1,3,2,3,4,1,0
48,2,1,1,1,1,1,1
49,2,1,1,1,1,2,1
50,2,1,1,1,4,1,0
51,2,1,1,1,4,2,0
52,2,1,1,2,1,1,1
53,2,1,1,2,1,2,1
54,2,1,1,3,2,2,1
55,2,1,1,3,3,2,1
56,2,1,1,3,4,1,0
57,2,1,2,1,2,2,1
58,2,1,2,2,4,1,0
59,2,1,2,3,1,2,1
60,2,2,1,1,3,2,1
61,2,2,1,1,4,2,0
62,2,2,1,2,1,2,1
63,2,2,1,2,2,1,0
64,2,2,1,3,1,1,1
65,2,2,1,3,2,2,1
66,2,2,1,3,3,1,0
67,2,2,1,3,3,2,0
68,2,2,1,3,4,2,0
69,2,2,2,1,2,2,1
70,2,2,2,2,1,2,1
71,2,2,2,2,3,1,1
72,2,2,2,2,3,2,1
73,2,2,2,3,4,1,0
74,2,3,1,1,3,1,1
75,2,3,1,2,1,1,0
76,2,3,1,2,2,1,0
77,2,3,1,2,2,2,0
78,2,3,1,2,3,2,0
79,2,3,1,3,3,1,0
80,2,3,2,1,1,2,0
81,2,3,2,1,2,2,0
82,2,3,2,1,4,1,0
83,2,3,2,2,3,1,0
84,2,3,2,2,4,2,0
85,2,3,2,3,1,1,0
86,2,3,2,3,2,1,0
87,2,3,2,3,4,2,0
88,3,1,1,1,1,1,1
89,3,1,1,1,2,1,1
90,3,1,1,1,3,1,1
91,3,1,1,2,4,2,0
92,3,1,1,3,1,2,1
93,3,1,1,3,4,2,0
94,3,1,2,1,2,1,1
95,3,1,2,2,3,2,1
96,3,1,2,2,4,2,0
97,3,1,2,3,1,1,1
98,3,2,1,1,2,2,1
99,3,2,1,1,4,1,0
100,3,2,1,2,3,1,1
101,3,2,1,3,1,2,1
102,3,2,2,1,2,2,1
103,3,2,2,1,3,2,1
104,3,2,2,2,1,2,1
105,3,2,2,3,1,1,1
106,3,2,2,3,3,2,1
107,3,2,2,3,4,1,0
108,3,3,1,1,3,2,1
109,3,3,1,1,4,1,1
110,3,3,1,2,4,2,0
111,3,3,1,3,1,1,0
112,3,3,1,3,2,1,0
113,3,3,1,3,2,2,0
114,3,3,1,3,4,1,0
115,3,3,2,1,1,1,0
116,3,3,2,1,1,2,0
117,3,3,2,2,2,2,0
118,3,3,2,2,3,2,0
119,3,3,2,3,1,1,0
120,3,3,2,3,3,2,0
121,3,3,2,3,4,2,0
