,input_1,input_2,input_3,input_4,input_5,input_6,output_1
0,1,1,1,1,1,1,0
1,1,1,1,1,1,2,0
2,1,1,1,1,2,1,0
3,1,1,1,1,2,2,0
4,1,1,1,1,3,1,0
5,1,1,1,1,3,2,0
6,1,1,1,1,4,1,0
7,1,1,1,1,4,2,0
8,1,1,1,2,1,1,0
9,1,1,1,2,1,2,0
10,1,1,1,2,2,1,0
11,1,1,1,2,2,2,0
12,1,1,1,2,3,1,0
13,1,1,1,2,3,2,0
14,1,1,1,2,4,1,0
15,1,1,1,2,4,2,0
16,1,1,1,3,1,1,0
17,1,1,1,3,1,2,0
18,1,1,1,3,2,1,0
19,1,1,1,3,2,2,0
20,1,1,1,3,3,1,0
21,1,1,1,3,3,2,0
22,1,1,1,3,4,1,0
23,1,1,1,3,4,2,0
24,1,1,2,1,1,1,0
25,1,1,2,1,1,2,0
26,1,1,2,1,2,1,0
27,1,1,2,1,2,2,0
28,1,1,2,1,3,1,0
29,1,1,2,1,3,2,0
30,1,1,2,1,4,1,0
31,1,1,2,1,4,2,0
32,1,1,2,2,1,1,0
33,1,1,2,2,1,2,0
34,1,1,2,2,2,1,0
35,1,1,2,2,2,2,1
36,1,1,2,2,3,1,0
37,1,1,2,2,3,2,1
38,1,1,2,2,4,1,0
39,1,1,2,2,4,2,1
40,1,1,2,3,1,1,0
41,1,1,2,3,1,2,0
42,1,1,2,3,2,1,0
43,1,1,2,3,2,2,1
44,1,1,2,3,3,1,0
45,1,1,2,3,3,2,1
46,1,1,2,3,4,1,0
47,1,1,2,3,4,2,1
48,1,2,1,1,1,1,0
49,1,2,1,1,1,2,0
50,1,2,1,1,2,1,0
51,1,2,1,1,2,2,0
52,1,2,1,1,3,1,0
53,1,2,1,1,3,2,0
54,1,2,1,1,4,1,0
55,1,2,1,1,4,2,0
56,1,2,1,2,1,1,0
57,1,2,1,2,1,2,0
58,1,2,1,2,2,1,0
59,1,2,1,2,2,2,1
60,1,2,1,2,3,1,0
61,1,2,1,2,3,2,1
62,1,2,1,2,4,1,0
63,1,2,1,2,4,2,1
64,1,2,1,3,1,1,0
65,1,2,1,3,1,2,0
66,1,2,1,3,2,1,0
67,1,2,1,3,2,2,1
68,1,2,1,3,3,1,0
69,1,2,1,3,3,2,1
70,1,2,1,3,4,1,0
71,1,2,1,3,4,2,1
72,1,2,2,1,1,1,0
73,1,2,2,1,1,2,0
74,1,2,2,1,2,1,0
75,1,2,2,1,2,2,1
76,1,2,2,1,3,1,0
77,1,2,2,1,3,2,1
78,1,2,2,1,4,1,0
79,1,2,2,1,4,2,1
80,1,2,2,2,1,1,0
81,1,2,2,2,1,2,1
82,1,2,2,2,2,1,1
83,1,2,2,2,2,2,0
84,1,2,2,2,3,1,1
85,1,2,2,2,3,2,0
86,1,2,2,2,4,1,1
87,1,2,2,2,4,2,0
88,1,2,2,3,1,1,0
89,1,2,2,3,1,2,1
90,1,2,2,3,2,1,1
91,1,2,2,3,2,2,0
92,1,2,2,3,3,1,1
93,1,2,2,3,3,2,0
94,1,2,2,3,4,1,1
95,1,2,2,3,4,2,0
96,1,3,1,1,1,1,0
97,1,3,1,1,1,2,0
98,1,3,1,1,2,1,0
99,1,3,1,1,2,2,0
100,1,3,1,1,3,1,0
101,1,3,1,1,3,2,0
102,1,3,1,1,4,1,0
103,1,3,1,1,4,2,0
104,1,3,1,2,1,1,0
105,1,3,1,2,1,2,0
106,1,3,1,2,2,1,0
107,1,3,1,2,2,2,1
108,1,3,1,2,3,1,0
109,1,3,1,2,3,2,1
110,1,3,1,2,4,1,0
111,1,3,1,2,4,2,1
112,1,3,1,3,1,1,0
113,1,3,1,3,1,2,0
114,1,3,1,3,2,1,0
115,1,3,1,3,2,2,1
116,1,3,1,3,3,1,0
117,1,3,1,3,3,2,1
118,1,3,1,3,4,1,0
119,1,3,1,3,4,2,1
120,1,3,2,1,1,1,0
121,1,3,2,1,1,2,0
122,1,3,2,1,2,1,0
123,1,3,2,1,2,2,1
124,1,3,2,1,3,1,0
125,1,3,2,1,3,2,1
126,1,3,2,1,4,1,0
127,1,3,2,1,4,2,1
128,1,3,2,2,1,1,0
129,1,3,2,2,1,2,1
130,1,3,2,2,2,1,1
131,1,3,2,2,2,2,0
132,1,3,2,2,3,1,1
133,1,3,2,2,3,2,0
134,1,3,2,2,4,1,1
135,1,3,2,2,4,2,0
136,1,3,2,3,1,1,0
137,1,3,2,3,1,2,1
138,1,3,2,3,2,1,1
139,1,3,2,3,2,2,0
140,1,3,2,3,3,1,1
141,1,3,2,3,3,2,0
142,1,3,2,3,4,1,1
143,1,3,2,3,4,2,0
144,2,1,1,1,1,1,0
145,2,1,1,1,1,2,0
146,2,1,1,1,2,1,0
147,2,1,1,1,2,2,0
148,2,1,1,1,3,1,0
149,2,1,1,1,3,2,0
150,2,1,1,1,4,1,0
151,2,1,1,1,4,2,0
152,2,1,1,2,1,1,0
153,2,1,1,2,1,2,0
154,2,1,1,2,2,1,0
155,2,1,1,2,2,2,1
156,2,1,1,2,3,1,0
157,2,1,1,2,3,2,1
158,2,1,1,2,4,1,0
159,2,1,1,2,4,2,1
160,2,1,1,3,1,1,0
161,2,1,1,3,1,2,0
162,2,1,1,3,2,1,0
163,2,1,1,3,2,2,1
164,2,1,1,3,3,1,0
165,2,1,1,3,3,2,1
166,2,1,1,3,4,1,0
167,2,1,1,3,4,2,1
168,2,1,2,1,1,1,0
169,2,1,2,1,1,2,0
170,2,1,2,1,2,1,0
171,2,1,2,1,2,2,1
172,2,1,2,1,3,1,0
173,2,1,2,1,3,2,1
174,2,1,2,1,4,1,0
175,2,1,2,1,4,2,1
176,2,1,2,2,1,1,0
177,2,1,2,2,1,2,1
178,2,1,2,2,2,1,1
179,2,1,2,2,2,2,0
180,2,1,2,2,3,1,1
181,2,1,2,2,3,2,0
182,2,1,2,2,4,1,1
183,2,1,2,2,4,2,0
184,2,1,2,3,1,1,0
185,2,1,2,3,1,2,1
186,2,1,2,3,2,1,1
187,2,1,2,3,2,2,0
188,2,1,2,3,3,1,1
189,2,1,2,3,3,2,0
190,2,1,2,3,4,1,1
191,2,1,2,3,4,2,0
192,2,2,1,1,1,1,0
193,2,2,1,1,1,2,0
194,2,2,1,1,2,1,0
195,2,2,1,1,2,2,1
196,2,2,1,1,3,1,0
197,2,2,1,1,3,2,1
198,2,2,1,1,4,1,0
199,2,2,1,1,4,2,1
200,2,2,1,2,1,1,0
201,2,2,1,2,1,2,1
202,2,2,1,2,2,1,1
203,2,2,1,2,2,2,0
204,2,2,1,2,3,1,1
205,2,2,1,2,3,2,0
206,2,2,1,2,4,1,1
207,2,2,1,2,4,2,0
208,2,2,1,3,1,1,0
209,2,2,1,3,1,2,1
210,2,2,1,3,2,1,1
211,2,2,1,3,2,2,0
212,2,2,1,3,3,1,1
213,2,2,1,3,3,2,0
214,2,2,1,3,4,1,1
215,2,2,1,3,4,2,0
216,2,2,2,1,1,1,0
217,2,2,2,1,1,2,1
218,2,2,2,1,2,1,1
219,2,2,2,1,2,2,0
220,2,2,2,1,3,1,1
221,2,2,2,1,3,2,0
222,2,2,2,1,4,1,1
